Code,Name,Total fertility rate
42030,Gawler,1.76
42110,Goyder,1.94
42250,Grant,2.07
42600,Holdfast Bay,1.31
42750,Kangaroo Island,2.07
43080,Karoonda East Murray,0.00
43220,Kimba,0.00
43360,Kingston (SA),2.21
43650,Light,1.79
43710,Lower Eyre Peninsula,2.18
43790,Loxton Waikerie,2.04
44000,Maralinga Tjarutja,..
44060,Marion,1.52
44210,Mid Murray,1.87
44340,Mitcham,1.48
44550,Mount Barker,1.96
44620,Mount Gambier,1.86
44830,Mount Remarkable,3.26
45040,Murray Bridge,1.86
45090,Naracoorte Lucindale,2.12
45120,Northern Areas,2.18
45290,Norwood Payneham and St Peters,1.16
45340,Onkaparinga,1.74
45400,Orroroo Carrieton,0.00
45540,Peterborough,1.35
45680,Playford,2.01
45890,Port Adelaide Enfield,1.66
46090,Port Augusta,1.91
46300,Port Lincoln,1.88
46450,Port Pirie,1.87
46510,Prospect,1.42
46670,Renmark Paringa,1.79
46860,Robe,1.89
46970,Roxby Downs,1.90
47140,Salisbury,1.77
47290,Southern Mallee,2.17
47490,Streaky Bay,2.54
47630,Tatiara,1.84
47700,Tea Tree Gully,1.66
47800,Coorong,1.95
47910,Tumby Bay,3.41
47980,Unley,1.27
48050,Victor Harbor,1.75
48130,Wakefield,2.03
48260,Walkerville,1.26
48340,Wattle Range,2.15
48410,West Torrens,1.33
48540,Whyalla,1.74
48640,Wudinna,1.71
48750,Yankalilla,1.92
48830,Yorke Peninsula,2.30
49399,Unincorporated SA,1.57
49999,Unknown SA,..
50080,Albany,1.95
50210,Armadale,2.06
50250,Ashburton,1.69
50280,Augusta Margaret River,1.78
50350,Bassendean,1.93
50420,Bayswater,1.54
50490,Belmont,1.58
50560,Beverley,0.00
50630,Boddington,2.37
50770,Boyup Brook,2.73
50840,Bridgetown-Greenbushes,1.79
50910,Brookton,0.00
50980,Broome,1.96
51080,Broomehill-Tambellup,0.00
51120,Bruce Rock,0.00
51190,Bunbury,1.80
51260,Busselton,1.87
